0.395,-49.958234999650884,-51.24654404946764,-55.41550823893033,-74.51577017235937,-55.7946516941534
0.4,-48.80424462760399,-49.67434782734375,-52.86582683540541,-62.44631601816698,-59.21333723759642
0.405,-47.71538273412148,-48.23447754590048,-50.73096847093399,-57.236129672222454,-65.69157839787391
0.41,-46.67973318520852,-46.89384141666564,-48.86446069233755,-53.737111605189234,-79.12288139099027
0.415,-45.688201613681294,-45.62865258678029,-47.181756199869476,-51.02486909731374,-61.90098435548245
0.42,-44.733749460407466,-44.421108902029786,-45.62896726584145,-48.75817337757172,-56.08478112617824
0.425,-43.81100422576214,-43.25740623434498,-44.168971561335795,-46.77126223621558,-52.317709206087024
0.43,-42.91598880483669,-42.12653521986294,-42.77444367840792,-44.969523649705955,-49.43156400705127
0.435,-42.04598889447034,-41.019540249572245,-41.42399972592834,-43.29235839942865,-47.02565228247302
0.44,-41.1995228736005,-39.92908604013911,-40.099878920212824,-41.69703297517074,-44.91124545352325
0.445,-40.37640101940642,-38.849262713194726,-38.786436183588336,-40.15053257533768,-42.98157628256233
0.45,-39.57786672367164,-37.775617898027456,-37.46908738506721,-38.624831191595874,-41.167411402721896
0.455,-38.80681193219364,-36.705454592538736,-36.13353348031545,-37.093640882547014,-39.41793928411901
0.46,-38.06805048562876,-35.638488080906775,-34.76521734963012,-35.529624104049766,-37.69074964471005
0.465,-37.36861304510532,-34.57801771115931,-33.34912562864778,-33.90131553312975,-35.945127082421855
0.47,-36.71799244811406,-33.53282412684128,-31.870347669851775,-32.16884705289932,-34.135759702337126
0.475,-36.12821914221028,-32.51998096501443,-30.316706176761947,-30.27707828533472,-32.20415735852854
0.48,-35.613594847448574,-31.568481935634118,-28.686532482588763,-28.143047434572633,-30.062965237108553
0.485,-35.18989205892128,-30.722646495959122,-27.00978020213728,-25.63223005192899,-27.559258175247813
0.49,-34.87289278189223,-30.042445727604836,-25.39772594994912,-22.520204253390787,-24.364180828345514
0.495,-34.67634109318548,-29.59569009960344,-24.124054098025862,-18.576602235638553,-19.4654404337287
0.5,-34.609696358796654,-29.439226948200357,-23.617553813486683,-15.66964447202751,-0.009738593992025733
0.505,-34.676341286378204,-29.595688740941775,-24.124055444129123,-18.57661496153187,-19.465454896959184
0.51,-34.87289315479067,-30.042453199301058,-25.39772807278878,-22.520185214002673,-24.36418971272473
0.515,-35.189892586189394,-30.722647625924203,-27.009790148486484,-25.632233458278048,-27.559262157176295
0.52,-35.61359550516801,-31.56847487842365,-28.686555860759093,-28.14305593431299,-30.06297103821455
0.525,-36.12821991707745,-32.51998649624781,-30.316723755321977,-30.277086936051262,-32.20416030444416
0.53,-36.71799334329721,-33.53282317808151,-31.87035309227997,-32.16885384845385,-34.13577055964454
